CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
45dba0ef,3430,13.6,322,1710,147,20.5,240,7.8,1626,1.0848,Near Saturation,105900,Medium,0.131,0.37,180,0.41,NA,160,15.8,NA,25.09,4.4,19484,0,777,0.47,0.278,0.8451,NA,NA,NA,2,NA,25.8,15000,1700,0,0,0,11,0,NA
64d91983,2600,NA,360,1570,126,36.7,NA,1.6,1421,1.12,Undersaturated,103600,Weak,0.129,0.52,140,0.38,90,820,36.2,41.4,296.19,312.97,84829,655.68,286,0.61,NA,0.92,0.1133,NA,NA,NA,NA,21.8,86400,88700,0,144500,NA,28,19,16762.671360773467
5049b9f6,9570,13.3,168,4750,228,15.1,210,9.6,2294,1.094,Full Saturated,71100,NA,0.177,0.54,530,0.35,NA,200,30.2,35.1,59.51,291.07,9537,213.85,160,0.54,0.27,NA,0.397,3.93,2.646,4,NA,28.5,24000,42100,NA,25500,NA,5,1,94943.550808330765
154071ca,11370,28.7,146,5730,235,14.4,20,26.8,226,1.0397,Highly Undersaturated,9000,Very Strong,0.298,0.61,3180,0.204,2920,780,27.7,36.6,215.95,1912.7,3074,934.61,14,0.42,0.2518,0.726,0.4037,NA,NA,28,32,23.6,58000,434800,0,174700,0,4,1,119110.62289570109
9a656630,6130,20.7,416,3000,178,19.4,130,12.2,1096,1.0575,Near Saturation,75400,Medium,0.189,0.72,390,0.353,260,1150,22.5,27.3,258.38,55.85,26043,0,101,0.49,NA,0.8189,0.19,NA,NA,10,14,20.5,86000,15600,0,0,0,9,0,46322.98378088744
a37b7922,3070,14.4,242,1870,122,27.5,200,6.4,1085,1.0627,Undersaturated,95200,Weak,0.138,0.49,120,0.38,70,170,38.4,43.4,65.41,174.73,9687,246.54,148,0.62,NA,0.89,0.242,NA,3.3,1,2,24.8,17000,33300,0,51400,0,17,12,28710.915004980052
50eefc8b,3290,14.3,167,1570,124,25.4,190,5.1,1447,1.084,Undersaturated,106000,Medium,0.128,0.51,130,0.404,70,120,29,NA,34.8,129.95,6548,171.31,188,0.58,NA,0.8,0.37,NA,NA,NA,1,28.2,NA,18000,0,26000,0,17,8,27969.162294070702
8d197761,5290,33.9,303,2880,162,40.7,260,1.1,940,1.0871,Highly Undersaturated,46700,Medium,0.207,0.72,200,0.24,140,1770,39.8,47.2,702.34,1618.39,139310,2382.6,NA,0.54,NA,0.9294,NA,NA,1.49,4,4,43.1,143400,NA,0,178200,0,22,19,20317.33758082476
b549c62c,11440,39.3,147,5650,237,13.9,10,18.9,68,1.0391,Very Highly Undersaturated,1800,Very Strong,0.297,0.62,9540,0.162,7920,1180,43.9,43.6,516.98,7356.1,3517,3187.1,7,NA,NA,0.7251,0.322,NA,NA,NA,NA,45.2,85000,890200,0,358200,0,4,1,117022.09827857005
f7efe423,9040,25.9,191,4560,211,40.3,490,0.5,1723,1.18,Undersaturated,25800,Medium,0.221,0.66,270,0.192,230,930,22.3,23.6,208.39,3.39,102966,0,494,NA,NA,NA,0.35,2.799,NA,2,4,45.8,107800,400,0,NA,0,18,0,NA
f395e38e,9560,15.7,127,4870,195,36.3,190,1,744,1.08,Highly Undersaturated,14900,Medium,0.271,0.6,460,0.179,450,410,34.1,37.9,139.11,58.36,19739,0,142,0.44,NA,0.743,0.356,NA,NA,2,NA,25.3,35000,14500,0,NA,0,10,0,NA
9b67db75,4870,23.4,171,2620,165,13.2,30,337.9,300,1.027,Undersaturated,76400,Medium,0.217,0.8,710,0.39,NA,630,17,21.9,107.01,767.75,2128,833.22,20,NA,NA,0.905,0.24,3.752,NA,NA,NA,29.5,75600,90700,0,NA,0,NA,3,NA
396ad76c,7650,23.4,150,4480,170,40.8,180,1.1,593,1.06,Highly Undersaturated,15500,Weak,0.27,0.66,190,0.173,170,860,42.3,52.9,362.14,532.99,49080,904.65,136,NA,0.245,NA,0.177,4.577,NA,2,2,25.3,90000,100500,0,111200,NA,22,18,22830.465408351898
67dcf03c,10270,19,160,4340,219,37.4,150,0.7,566,1.074,Highly Undersaturated,5400,Very Strong,0.282,0.75,2130,0.161,1960,760,64,66.6,486.62,1330.73,55334,0,114,0.69,0.1918,NA,0.28,NA,NA,18,NA,39.6,87000,182500,NA,0,NA,NA,0,92675.1498583518
9242824e,1680,22.7,271,1110,99,23.1,110,20.1,700,1.04,Undersaturated,111900,Medium,0.155,0.44,120,0.423,NA,310,27.6,29.4,84.33,538.59,7257,632.46,86,0.58,0.296,0.9388,0.192,NA,NA,NA,NA,33.1,31000,60400,0,101300,NA,36,32,NA
54e25faa,4990,15.5,392,2740,172,38.1,250,1.4,922,1.0812,Undersaturated,55300,Weak,0.195,0.75,180,0.266,NA,810,31.7,NA,255.24,42.62,47301,313.19,185,NA,0.25,0.927,NA,NA,NA,4,6,11.2,NA,63700,0,133000,NA,15,8,34203.47641344066
277d86c9,4990,12.6,298,2840,166,27,240,2.6,1155,1.081,Undersaturated,70000,Weak,0.155,0.77,170,0.314,100,440,40.4,48.1,179.33,662.16,32191,850.27,180,0.59,0.277,0.7975,0.3271,NA,NA,3,NA,46.7,46100,50600,NA,57900,NA,9,5,57312.634463072754
90e293c9,2760,17.1,201,2270,122,19.2,100,57.5,803,1.0346,Undersaturated,NA,Weak,0.145,0.81,160,NA,80,350,9.5,22.4,32.76,41.94,2531,75.53,77,NA,0.3294,0.979,NA,NA,NA,2,3,7.2,29000,33300,NA,57500,NA,11,7,42761.31569260033
037121c1,3680,25.8,166,2290,127,17,70,106.8,615,1.031,Undersaturated,89400,Medium,0.174,0.67,230,0.392,130,410,20.8,25.1,84.96,927.2,4239,1016.04,50,0.52,NA,NA,0.3,NA,NA,NA,3,46.9,39400,64200,0,91400,0,24,11,18455.40825514763
dbc6ad80,6190,7.3,337,3070,179,24.7,90,5.7,501,1.043,Undersaturated,43500,Strong,0.234,0.48,490,0.272,NA,280,32.7,37.5,92.66,181.26,6022,0,65,0.5,NA,0.9258,NA,NA,NA,7,10,32.1,28000,37300,0,NA,0,NA,0,98062.59130666265
18bb8524,9980,17.6,312,5450,237,16.4,50,21.7,434,1.041,Undersaturated,NA,Medium,0.262,0.44,590,0.217,NA,680,31,41.3,210.58,780.03,7427,815.51,35,NA,0.29,0.8432,0.24,NA,NA,6,10,28.2,52000,111100,0,99300,0,7,NA,67367.59189453359
74e05156,3570,20.4,266,1820,165,43.2,400,0.6,1678,1.17,Highly Undersaturated,63300,Medium,0.142,0.82,200,0.262,140,650,18.8,19.5,121.62,0.05,176681,0,1453,0.33,NA,0.916,0.218,4.27,NA,NA,NA,24.3,54300,0,100,0,0,24,0,19839.502566558804
133ecd98,9920,14.3,232,4740,214,21.3,70,3.9,443,1.0507,Highly Undersaturated,NA,NA,0.24,0.79,1690,0.188,1080,630,32,38.8,201.2,1002.15,10043,0,50,0.44,0.243,0.9,0.45,NA,NA,23,NA,19.8,63000,262000,0,0,NA,4,0,NA
9e1d6b48,11750,15.1,73,5940,236,37.3,NA,1.2,189,1.045,Highly Undersaturated,1300,Very Strong,0.3,0.66,1610,0.151,1650,240,49.5,50.5,120.46,543.08,4432,0,37,NA,NA,0.67,0.19,NA,NA,6,NA,56.2,NA,79000,0,0,0,5,0,NA
58bdb6ac,3630,13.4,208,2240,135,22.4,40,20.7,187,1.025,Highly Undersaturated,43500,Medium,0.207,0.5,400,0.286,240,340,12.7,19.6,43.78,3.95,1213,0,28,NA,NA,0.8248,0.397,NA,NA,NA,NA,12.5,37000,2100,0,0,0,10,0,44314.10967996984
80ad7f90,11530,6.9,54,5770,236,42.6,580,0.4,2058,1.2198,Undersaturated,6000,Medium,0.269,0.77,540,0.157,450,80,59,64.5,48.53,101.46,21240,0,438,0.6,0.2,0.957,0.2844,NA,NA,2,2,56.7,9000,14700,0,0,NA,4,0,122830.36910593364
21767112,8470,35.6,192,4580,181,39.4,120,1.2,382,1.0498,Highly Undersaturated,NA,Medium,0.289,0.8,410,0.168,370,1940,14.8,24,286.91,2.99,24837,0,87,0.27,0.2291,NA,0.2511,NA,NA,NA,NA,15.3,235100,1100,0,0,0,16,0,26725.491260287527
1dc13519,4200,21.2,39,3320,137,34.9,NA,0.6,3038,1.33,Undersaturated,100300,None,0.129,0.56,60,0.345,40,60,38.4,48.3,21.62,20.17,16316,49.64,755,0.6,0.2744,0.787,0.1885,NA,2.04,0,NA,21.2,5300,5900,0,7700,0,44,17,NA
3e1733ab,6630,18.6,114,3440,174,NA,150,5.4,879,1.06,Undersaturated,60300,Medium,0.226,0.74,330,0.303,260,300,25.7,27.8,76.35,12.37,8339,0,109,0.45,0.2579,0.79,0.2504,NA,NA,2,3,38.2,28000,2400,NA,0,0,9,NA,NA
334a67e8,5270,32.1,335,2290,178,18.1,40,26.3,302,1.033,Highly Undersaturated,46000,Very Strong,0.227,0.74,1100,0.31,860,1610,28.8,NA,463.23,670.16,12870,0,28,NA,0.2615,NA,0.187,NA,NA,NA,29,34.4,196100,NA,NA,0,NA,8,0,NA
d8b7ea66,8120,12.8,373,4320,179,42.4,390,0.6,1275,1.1347,Highly Undersaturated,17400,Medium,0.256,0.73,190,0.171,180,1020,21.3,NA,218.28,3.52,69261,0,317,0.27,0.222,0.8737,0.2451,NA,NA,NA,NA,53.9,126000,500,0,0,0,11,0,39422.404451654504
59bd013c,8150,23.3,119,3960,201,45.5,900,0.3,2803,1.3381,Undersaturated,44600,Medium,0.208,0.75,170,0.216,NA,390,31.5,41.4,123.31,0,955028,0,7745,0.22,0.216,0.7572,0.2493,3.43,NA,NA,NA,42.2,35700,0,NA,0,7800,10,2,41795.80251109495
3bbc6267,7960,20.8,110,4570,173,13.3,50,113.9,566,1.03,Undersaturated,57000,Medium,0.244,0.7,490,0.334,340,360,19.7,22.7,71.12,1031.03,2492,1055.48,35,0.46,0.3021,0.69,0.313,NA,NA,2,4,55.2,36000,55600,0,NA,NA,10,4,NA
b4ee34c1,1370,27,206,1110,97,20.8,50,NA,323,1.0222,Undersaturated,109600,Weak,0.16,0.48,170,NA,100,320,17.8,22.2,56.36,546.28,2111,606.49,37,0.53,0.329,0.86,0.2663,NA,NA,2,NA,23.9,33000,NA,NA,141900,0,33,22,12641.328200321666
15373096,2180,12.2,122,1180,127,41.1,240,1.2,744,1.076,Highly Undersaturated,65400,Medium,0.146,0.77,170,0.285,110,140,16.8,17.4,23.08,0.07,13948,0,604,NA,NA,NA,0.3874,NA,NA,1,NA,22.8,10000,0,0,0,0,16,0,27334.799575282523
a30dddae,9430,7.8,173,4670,217,20.3,200,4.5,1524,1.0845,Near Saturation,49100,Medium,0.22,0.7,530,0.283,360,170,33.9,36.8,58.38,279.29,8635,0,148,0.51,0.2498,0.809,0.1449,NA,1.92,5,NA,53,17000,50100,NA,0,0,5,0,91613.5572025599
c95ff4d2,9740,6.7,183,4650,243,19.7,150,6.4,1283,1.073,Near Saturation,40600,Very Strong,0.214,0.8,940,0.276,680,200,10,39.1,19.75,4.44,2151,0,109,0.35,0.2483,0.637,0.3495,NA,NA,NA,NA,7.2,16000,11800,0,NA,NA,NA,0,117881.97095514333
96e96412,9000,15.5,160,4710,240,40.7,1280,0.3,3767,1.49,Undersaturated,41100,Weak,0.164,0.53,120,0.208,90,230,7.7,52.7,17.6,0,46234,0.32,2627,0.17,NA,0.911,0.19,NA,2.54,NA,NA,5.3,20600,0,100,20800,8100,10,10,NA
ce221015,10250,32.9,206,4570,247,20,40,7.2,324,1.046,Highly Undersaturated,9600,Very Strong,0.272,0.79,3680,0.196,2940,1350,40.6,42.2,549.17,4003.78,17590,0,32,NA,NA,NA,0.29,NA,NA,NA,75,55.1,126000,558300,0,0,0,4,0,107020.14493619063
e798b539,6210,32.4,86,3530,166,17.5,130,21.6,1091,1.05,Near Saturation,78700,Medium,0.196,0.77,260,0.357,160,350,9.6,10.1,33.68,2.78,3302,0,98,0.4,NA,NA,0.21,4.89,NA,1,2,37.2,31000,1500,0,0,0,17,0,26798.29191128374
0076c2ab,11100,21.8,301,5190,247,17.2,60,11,636,1.05,Undersaturated,13200,Very Strong,0.262,0.56,4110,0.215,2860,1200,33.7,32.9,404.81,6633.53,17862,3628.59,44,0.47,0.2293,0.9,0.2172,NA,NA,NA,NA,54.5,124000,NA,0,372400,0,4,NA,111223.7721219426
f295541e,2080,15.2,122,1240,119,26.1,60,9.2,273,1.03,Highly Undersaturated,NA,Medium,0.158,0.8,260,0.341,150,210,15.5,15,32.76,1.51,2885,0,88,NA,NA,NA,0.172,NA,1.955,NA,4,34.5,19000,200,0,0,NA,17,0,NA
586e5d88,2050,22.4,249,2260,138,32,380,2.7,2035,1.08,Undersaturated,118300,Weak,0.115,0.83,150,0.427,90,380,22.9,NA,87.78,85.29,32976,190.85,376,0.56,0.265,0.962,0.3275,NA,NA,2,NA,10.9,43000,66400,NA,109600,0,26,12,19087.8079589369
b73a3c8f,1330,29.7,151,2750,106,39.3,580,1.9,2489,1.08,Undersaturated,121800,Weak,0.103,0.73,70,0.434,30,260,1.5,1.5,3.77,0,2589930,1.69,686664,NA,0.28,0.8133,0.3468,NA,NA,1,1,45.9,29000,0,0,185300,NA,58,62,NA
b0e297e0,7780,22.7,278,3590,207,42.4,700,0.5,2507,1.26,Undersaturated,62500,Medium,0.207,0.52,220,0.268,180,630,23.2,24.4,145.38,6.11,203525,0,1400,NA,NA,0.86,0.4593,NA,2.206,NA,NA,50.8,64300,1700,100,0,0,9,0,46995.43293960742
a703745a,11710,17.9,93,5840,257,44.3,650,0.3,NA,1.2431,Undersaturated,2500,Strong,0.293,0.7,580,0.151,640,340,41.3,44.1,140.01,128.76,67853,0,485,0.49,0.1887,NA,0.5756,NA,2.04,NA,4,23.6,29000,29800,0,0,NA,7,0,68889.88470794284
1fc46b36,1430,17.8,135,1040,115,40.4,60,2.7,149,1.0235,Very Highly Undersaturated,59700,Weak,0.219,0.74,120,0.282,110,340,43.1,46.8,146.04,1239.68,6719,1393.88,46,0.59,NA,NA,0.24,NA,NA,1,NA,56.8,40000,77000,0,127800,0,58,32,7128.048479131218
560e5d37,8720,16.1,189,4870,188,20.9,220,9.9,1883,1.0831,Near Saturation,69600,NA,0.195,0.65,230,0.329,140,370,11.2,35,41.51,13.68,6772,39.6,163,0.4,NA,0.87,0.235,NA,NA,2,NA,7.4,35000,23000,0,42800,NA,8,4,NA
71490a4f,5810,25.8,313,3170,157,32.5,420,1.4,1795,1.14,Undersaturated,80000,Weak,0.187,0.77,130,0.321,NA,990,35,52.8,344.85,66.91,108610,455.69,315,NA,0.25,0.982,NA,NA,NA,2,NA,13.8,NA,68500,0,146500,NA,NA,16,18184.061332431156
3a6f3ed3,10240,NA,91,5520,197,20.8,100,NA,669,1.05,Undersaturated,23900,Medium,0.285,0.44,370,0.215,380,170,24.4,27.2,41.09,28.1,2952,0,72,0.36,0.2615,0.89,0.283,NA,NA,NA,NA,52.5,18000,7900,NA,0,0,NA,0,NA
2e2e7b7e,10610,10.2,225,5360,243,39.8,1430,0.2,4856,1.76,Undersaturated,31300,Weak,0.214,0.79,190,0.179,NA,390,57.4,64.1,221.5,81.73,2678408,326.77,12092,0.46,NA,0.788,0.49,NA,NA,3,NA,57.2,30000,10500,100,NA,100,7,5,60724.50916530797
257ad233,5180,5.1,166,2740,153,39.8,160,1.1,503,1.0572,Highly Undersaturated,25200,Medium,0.232,0.44,250,0.197,240,110,31.6,30.6,35.32,9.27,5260,0,149,0.38,NA,NA,0.3105,NA,NA,NA,NA,52.6,9000,1500,0,NA,0,10,0,48808.272225027904
84a1dcb1,8690,19.9,112,4120,202,16.3,100,20.8,1094,1.05,Near Saturation,63000,Very Strong,0.238,0.59,840,0.34,670,340,31.2,38.7,106.3,638.94,7684,553.25,72,0.54,NA,NA,0.4429,NA,NA,NA,7,36.7,37000,60900,0,NA,NA,7,2,NA
509a52d2,10880,6.9,171,5110,224,37.3,410,0.5,1547,1.16,Undersaturated,14000,Strong,0.277,0.61,840,NA,830,220,49.9,55.9,110.15,526.33,33740,0,306,0.58,0.195,0.97,0.3785,NA,NA,4,NA,40.6,19000,61900,0,0,0,5,0,86894.58487549564
d14352ac,2080,28.3,108,1140,127,23.1,60,NA,422,1.029,Undersaturated,94000,Medium,0.159,0.61,340,0.4,NA,210,7.1,13.6,15.11,1.83,687,0,45,0.44,0.2863,0.91,0.42,NA,2.12,1,3,10.2,NA,1100,0,0,0,37,0,13429.302788589062
050c7296,1330,23.6,293,1220,103,34.9,210,3.1,1127,1.0697,Undersaturated,115800,NA,0.106,0.68,130,0.423,60,350,30.3,31.2,107,654.99,22334,777.17,209,NA,NA,NA,0.309,NA,NA,NA,NA,31,33000,81400,0,127500,0,31,15,14308.153160537346
e4d14f9c,8740,37.5,138,4200,213,41,NA,0.7,823,1.09,Highly Undersaturated,11800,Medium,0.236,0.68,590,0.171,420,1140,30.6,31.9,348.37,8.06,66352,0,190,NA,0.221,0.929,0.3,NA,NA,NA,NA,55.5,130000,700,0,0,NA,11,0,46296.749663467795
4986433c,6750,20.2,171,3240,188,25.7,180,3.1,1061,1.0733,Undersaturated,56600,Medium,0.19,0.75,410,0.295,280,440,20.6,28.2,91.01,18.2,12513,0,137,0.43,NA,NA,0.3,NA,NA,4,6,9.4,51000,10000,0,0,0,10,0,43419.79073544557
ca5817b8,8860,34.7,153,4000,216,42.5,410,0.6,NA,1.153,Undersaturated,27900,Strong,0.225,0.79,460,0.202,400,1000,31.7,31.3,317.11,95.85,111073,0,350,0.38,NA,0.9438,NA,NA,NA,3,NA,43.4,73000,10900,0,0,0,15,0,28479.566555258352
4d2fafb5,11430,38.1,333,5760,243,27.9,70,1.9,351,1.0511,Highly Undersaturated,3000,Very Strong,0.297,0.85,1460,0.157,1440,3660,53.9,59,1971.05,1933.43,103637,0,53,NA,0.22,0.91,NA,1.983,NA,34,58,28.8,413100,355300,0,0,0,6,0,84577.66328990401
77345918,7880,24.8,58,2990,232,32.3,250,0.9,1105,1.1,Undersaturated,37800,Very Strong,0.227,0.65,820,0.241,810,210,42.1,47.1,86.28,66.15,15864,0,184,0.55,NA,NA,0.37,NA,2.94,NA,3,26.7,NA,13100,0,0,0,9,0,56159.358995757066
098070b4,6970,31.8,112,3090,185,40.3,940,0.3,2850,1.36,Undersaturated,62900,Medium,0.22,0.59,170,0.252,160,440,38.6,46.7,169.9,0,1811022,0,10659,0.25,NA,0.949,0.43,NA,NA,NA,1,52.1,52000,0,100,0,NA,25,6,NA
fc1e02c6,9930,23.6,141,5280,201,21.1,90,9.2,704,1.05,Undersaturated,27800,Medium,0.278,0.54,540,0.232,460,620,22.5,25.6,138.34,82.23,9215,0,67,NA,NA,0.97,NA,NA,2.241,4,NA,31.2,NA,25100,0,0,NA,8,0,57843.35009231654
2a567606,5960,24.4,132,2880,166,34.7,680,0.7,2451,1.241,Undersaturated,85700,Medium,0.187,0.43,150,0.325,NA,280,16.3,17.1,45.27,0.03,87730,0,1938,0.36,0.23,0.83,0.47,NA,NA,1,NA,27.2,23000,0,0,0,0,22,NA,23166.014149148992
28258ca5,11050,8.6,128,6990,246,38.1,1760,0.2,6337,NA,Near Saturation,NA,Medium,0.177,0.85,170,NA,130,170,45.4,55.2,76.13,0.59,1080364,0,14191,0.31,NA,NA,0.42,NA,NA,1,NA,45.2,13000,100,100,0,NA,6,1,74905.1236457366
e6d411b3,11010,21.4,160,5410,227,12.2,80,19.3,1224,1.057,Near Saturation,NA,Very Strong,0.226,0.72,1650,0.397,970,450,29,28,131.74,2384.85,7586,1709.86,58,0.57,0.277,NA,0.298,NA,NA,NA,NA,54.9,47000,181400,0,NA,0,4,1,115230.40462852368
b5a09a9e,11340,26.3,169,5660,250,NA,300,0.7,1192,1.119,Undersaturated,6600,Strong,0.278,0.7,760,0.161,NA,1030,51.3,50.1,528.82,303.29,118108,0,223,0.56,NA,NA,NA,NA,NA,5,NA,58.1,76000,36100,0,0,0,9,0,50883.97460664273
eb58a401,6780,18.5,207,2900,215,42.3,920,0.3,2848,1.36,Undersaturated,NA,Medium,0.153,0.62,230,0.237,160,390,33.1,37.2,129.55,0,1281441,0,9891,0.23,0.22,0.6598,0.3664,3.18,NA,2,2,50.8,33000,0,NA,0,NA,10,3,45729.074690702255
a0af716c,1350,31.5,254,920,109,26.3,40,12.9,150,1.0221,Highly Undersaturated,83100,Medium,0.153,0.56,260,0.372,150,570,11.1,10.8,63.02,7.39,5799,0,92,0.38,0.295,NA,0.41,NA,NA,NA,NA,35.1,43000,1700,0,0,0,39,0,12123.26995473749
e10f55d9,10330,10.7,255,5650,194,38,1470,0.3,4155,1.552,Undersaturated,43000,None,0.243,0.59,100,0.2,100,400,34.3,50.1,137.73,22.11,513530,160.34,3729,0.38,NA,0.962,0.452,NA,NA,2,NA,14,46000,NA,100,44400,4000,12,10,40598.96583833615
1c1269ad,10970,NA,152,5450,253,39.4,420,0.5,1534,1.16,Undersaturated,10800,Strong,0.281,0.44,510,0.165,460,500,34.2,42.8,170.89,53.99,54464,0,319,0.43,0.2,0.8446,0.31,NA,NA,3,NA,19.2,36000,18900,NA,0,NA,9,0,55217.53398299916
4e284cdf,5170,13.2,184,2930,142,13,80,253.3,1008,1.037,Near Saturation,104900,Medium,0.182,0.5,330,0.425,170,170,7.6,16.9,13.22,18.56,757,18.97,57,NA,NA,NA,0.45,NA,2.349,NA,NA,6.6,19000,19600,0,19100,0,8,3,NA
7007a410,4730,30.4,90,2910,139,33.2,370,2,1631,1.117,NA,84600,Weak,0.15,0.41,190,0.337,120,160,45.8,52.8,75.12,185.4,20723,269.66,276,NA,NA,0.971,0.3622,NA,NA,1,NA,41.4,16000,17900,0,23400,0,19,9,NA
1f178012,5250,24,140,2510,168,34.8,260,1.3,1018,1.088,Undersaturated,58900,Medium,0.202,0.68,250,0.278,190,530,10,19.2,53.2,0.06,10163,0,191,0.33,0.24,0.9117,0.3452,NA,2.827,2,NA,10.1,51400,NA,0,0,0,22,0,19032.492559154478
cf22a785,11370,18.2,205,5770,250,35.8,750,0.5,2882,1.28,Undersaturated,21100,Medium,0.243,0.82,270,0.183,260,810,19,29.3,153.48,5.31,86460,0,563,0.31,0.224,0.737,0.3572,NA,1.837,3,NA,9.2,80000,NA,0,0,0,10,0,NA
69864715,6840,20,141,3940,167,17.6,120,31,1023,1.047,Near Saturation,76700,Medium,0.23,0.7,260,0.352,190,390,8.6,9.4,33.87,28.72,2928,0,86,0.39,NA,NA,NA,NA,NA,3,3,40,34000,19300,0,0,NA,10,0,41927.750043509295
14e46c22,7100,18.8,207,3250,193,38.6,700,0.4,2941,1.3489,Undersaturated,69600,Medium,0.16,0.52,130,0.272,NA,310,47.5,57.7,146.94,60,997852,231.45,6791,0.55,NA,NA,0.25,2.93,2.186,1,1,44.8,24600,13300,100,45800,14100,21,16,24358.988113248157
7742fd94,11710,26.2,157,5820,235,24.6,120,2.9,848,1.068,Undersaturated,7400,Very Strong,0.296,0.62,1770,0.172,NA,730,18.6,41.4,136.54,121.32,12465,0,91,0.32,0.21,0.6591,0.39,NA,NA,18,NA,7.7,85000,243300,0,0,0,5,0,100629.04066971503
86d22612,5340,12.2,434,2070,169,24.8,250,2.9,1508,1.1,Undersaturated,83900,Strong,0.158,0.62,470,0.362,260,370,38.2,NA,141.59,272.41,48439,0,342,0.57,0.242,0.727,0.371,NA,NA,NA,14,55.9,36000,39700,0,NA,0,6,0,75240.66374615359
bdbdc976,6320,22.2,365,2990,177,28.3,270,2.6,1497,1.1,Undersaturated,73000,Medium,0.171,0.63,340,0.329,210,860,20.2,NA,174.83,67.41,75808,0,434,0.41,0.25,0.9196,0.466,NA,NA,5,NA,40.9,70000,10900,0,NA,NA,11,0,39185.47773117157
fdcd5e72,5400,21.5,299,3710,130,35.5,560,1.1,2015,1.18,Undersaturated,79100,Weak,0.172,NA,90,0.301,NA,630,24.8,NA,157.01,6.06,524449,142.53,3340,0.42,0.2807,0.93,0.395,NA,2.601,1,NA,24.4,56000,NA,100,93200,25200,23,20,21945.422176773784
cff14ca1,8400,18.9,77,4030,200,22.1,180,4,1298,1.08,Undersaturated,51000,Medium,0.201,0.8,550,0.289,380,210,24.8,NA,52.51,101,7263,0,138,0.44,NA,NA,0.54,NA,NA,3,NA,37,21000,22100,0,0,0,6,NA,NA
a17c2dd8,1380,25.7,159,1020,101,13.1,80,NA,1002,1.028,Near Saturation,124200,Weak,0.111,0.61,190,0.449,60,210,13.1,NA,28.07,600.93,1680,632.53,60,0.52,0.34,0.858,NA,NA,NA,1,2,40.8,21000,47000,NA,78200,NA,27,17,NA
adf2252f,3560,6.2,195,2380,129,20,180,23.3,1417,1.0587,Near Saturation,103000,Weak,0.129,0.69,110,0.405,50,100,23.5,26.2,24.2,272.59,3307,298.1,137,NA,0.316,NA,0.339,NA,NA,1,NA,47.2,NA,19500,0,25400,NA,9,5,52137.87130527198
99b364ab,5150,13,75,2580,176,33.9,120,2.5,495,1.05,Highly Undersaturated,46600,Medium,0.236,0.71,360,0.262,290,160,15.5,26,25.36,5.73,2308,0,91,0.37,0.2467,0.92,0.366,NA,1.35,2,NA,6.7,17000,4700,0,0,0,10,0,42524.29689239245
82aa2b6a,9890,16.6,194,5030,188,24.4,60,4.2,326,1.0436,Highly Undersaturated,12200,Strong,0.29,0.8,940,0.188,830,860,41,49.1,351.76,453.19,15875,0,NA,0.52,0.24,NA,0.32,NA,NA,9,NA,20.1,87000,125700,0,0,NA,6,0,81521.042602323
9dcb69d3,6410,21,204,2800,211,22.8,120,4.6,870,1.063,Undersaturated,45000,Very Strong,0.14,0.55,800,0.29,NA,280,24.5,28.7,69.05,127.68,6299,0,91,0.45,0.265,NA,0.56,NA,NA,7,10,19.5,22000,34600,0,0,NA,6,0,NA
d332a2da,6880,22.6,284,3740,173,26.9,210,4.2,1239,1.07,Undersaturated,70000,Medium,0.229,0.83,210,0.316,180,1000,15.3,18.5,151.9,2.01,24095,0,NA,0.39,NA,0.85,0.365,NA,NA,6,6,21.2,97000,500,NA,0,0,10,0,49122.88184942852
2dfa7330,8830,12,254,7580,190,35.4,2030,0.3,6917,1.564,Near Saturation,105800,Weak,0.149,0.84,110,0.361,90,380,27.9,51.3,105,0.86,828621,81.63,7891,0.42,0.237,NA,0.372,NA,NA,2,2,14.1,37000,700,300,52500,300,11,10,43139.33051756255
7db1a634,2130,8.1,118,1320,112,25.8,160,6.5,789,1.05,Undersaturated,102400,Weak,0.155,0.63,130,0.395,70,70,35.8,36.6,24.62,228.54,2994,256.58,122,0.61,NA,NA,0.4855,NA,NA,1,NA,44.3,6000,17100,0,24300,0,16,10,NA
963885e3,4270,10.6,327,1900,176,15.8,NA,71.1,464,1.034,Undersaturated,74900,Strong,0.163,0.79,900,0.383,440,430,26.9,28.2,115.01,2150.61,3748,2124.06,NA,0.55,0.2872,0.901,0.49,NA,NA,20,NA,48.7,48000,145800,NA,137000,0,6,2,82534.48336154397
b393d006,7630,6.4,283,3790,203,26,180,4.1,NA,1.0696,Undersaturated,58700,Medium,0.236,0.58,410,0.298,NA,220,10.9,39.4,23.65,0.7,3134,0,133,NA,NA,0.8138,0.486,NA,NA,6,8,6.8,23000,2800,0,0,NA,5,0,NA
