CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
7cc7b528,10830,26.1,221,5440,226,33.6,100,1.4,453,1.0584,Highly Undersaturated,5600,Strong,0.286,0.81,1100,0.163,1020,1390,41.4,44.9,577.59,869.18,44396,0,77,0.5,NA,0.77,0.327,NA,NA,18,20,24.6,151000,192900,0,0,0,5,0,96544.97995562386
bdcb6dfa,5050,19.1,114,2510,163,33.1,200,1.6,863,1.0743,Undersaturated,52400,Medium,0.167,0.62,300,0.273,170,210,21,22.8,44.31,3.68,8834,0,199,0.36,NA,0.9317,0.231,NA,1.51,2,2,44.9,26000,600,0,0,0,12,0,NA
1a866648,8770,19.2,175,3650,233,38.6,640,NA,2422,1.2462,NA,46900,Strong,0.19,0.66,490,0.245,NA,520,40,41.3,208.99,138.58,161552,0,773,0.52,NA,0.82,0.1721,NA,1.48,5,NA,37.8,48000,18300,0,0,0,7,0,65840.68221893477
1abcd1de,11140,26,185,5650,236,32.5,400,0.9,1954,1.1523,Undersaturated,22800,Strong,0.255,0.73,380,0.196,NA,980,31.5,33.9,307.96,51.78,93481,0,304,0.38,NA,NA,0.27,NA,NA,NA,NA,44.2,91000,7600,0,0,0,11,0,42486.91265609602
fc1c0813,8320,13.7,134,4680,162,19.9,90,15.9,713,1.0454,NA,44400,Medium,0.249,0.77,360,0.277,300,360,17.1,18.8,60.75,52.88,4123,0,68,0.38,NA,0.701,0.352,NA,NA,3,NA,23.6,35000,22600,NA,NA,0,7,0,NA
6e2a4223,2210,38.6,251,1080,125,39.6,170,1.5,562,1.057,Highly Undersaturated,64900,Strong,0.155,0.59,320,0.299,NA,920,15.1,15.8,139.14,0.37,56985,0,410,NA,NA,0.7506,0.545,NA,NA,NA,5,52.8,90000,100,0,0,NA,50,0,10180.746093413327
304f8e57,10100,23.9,245,4810,242,41.7,1260,0.2,3656,1.49,Undersaturated,25400,Medium,0.216,0.53,270,NA,220,760,30.7,NA,232.8,0.28,1066478,0,4581,NA,NA,0.935,NA,NA,NA,NA,4,17,94000,100,200,NA,4600,11,NA,NA
cac7ef86,9510,13.6,56,5190,183,14.7,NA,24.2,2232,1.078,Full Saturated,86000,Medium,0.237,0.68,240,0.372,180,110,21.1,26,23.19,111.88,3498,122.44,151,0.5,NA,0.75,0.2386,NA,NA,1,NA,40.2,10000,9100,0,9600,0,7,2,59841.23102238103
2c2b2551,5400,10.9,102,2990,152,18,210,17.8,1870,1.0764,Near Saturation,99800,Weak,0.145,0.86,190,0.401,NA,100,18.5,17.8,19.07,8.73,6961,0,365,0.46,NA,NA,NA,NA,NA,NA,NA,53.4,11000,NA,0,NA,0,7,0,59115.31675259134
1bbc664e,1880,18.5,349,1390,101,36.7,360,1.9,1303,1.1085,Undersaturated,108700,None,0.145,0.73,80,0.391,NA,680,0.4,0.4,2.91,0,1731,2.71,595,NA,0.29,NA,0.337,5.47,NA,1,NA,37.2,50000,0,0,180500,35800,69,58,6593.9824895541
